date,product,region,revenue,quantity
2024-01-15,Product A,North,12500.50,25
2024-01-20,Product B,South,8500.75,17
2024-01-25,Product C,East,15200.00,30
2024-01-28,Product A,West,9800.25,20
2024-02-05,Product B,North,11200.00,22
2024-02-10,Product D,South,6800.50,14
2024-02-15,Product C,East,14500.75,29
2024-02-20,Product A,North,13200.00,26
2024-02-25,Product E,West,9200.25,18
2024-03-01,Product B,South,10500.50,21
2024-03-08,Product C,East,16800.00,33
2024-03-12,Product A,North,14100.75,28
2024-03-18,Product D,West,7500.00,15
2024-03-22,Product B,South,11800.25,23
2024-03-28,Product E,East,10200.50,20
2024-04-05,Product A,North,15600.00,31
2024-04-10,Product C,South,17200.75,34
2024-04-15,Product B,East,12500.00,25
2024-04-20,Product D,West,8200.25,16
2024-04-25,Product E,North,11500.50,23
2024-05-02,Product A,South,14800.00,29
2024-05-08,Product C,East,18500.75,37
2024-05-15,Product B,West,13200.25,26
2024-05-20,Product D,North,8900.50,18
2024-05-25,Product E,South,12200.00,24
2024-06-01,Product A,East,16200.75,32
2024-06-08,Product C,North,19200.00,38
2024-06-15,Product B,South,13800.25,27
2024-06-20,Product D,West,9500.50,19
2024-06-25,Product E,East,12800.00,25
2024-07-03,Product A,North,17500.75,35
2024-07-10,Product C,South,20500.00,41
2024-07-17,Product B,East,14500.25,29
2024-07-22,Product D,West,10200.50,20
2024-07-28,Product E,North,13500.00,27
2024-08-05,Product A,South,18800.75,37
2024-08-12,Product C,East,21800.00,43
2024-08-18,Product B,West,15200.25,30
2024-08-25,Product D,North,10800.50,21
2024-08-30,Product E,South,14200.00,28
2024-09-05,Product A,East,19500.75,39
2024-09-12,Product C,North,22500.00,45
2024-09-18,Product B,South,15800.25,31
2024-09-25,Product D,West,11500.50,23
2024-09-28,Product E,East,14800.00,29
2024-10-05,Product A,North,20200.75,40
2024-10-12,Product C,South,23200.00,46
2024-10-18,Product B,East,16500.25,33
2024-10-25,Product D,West,12200.50,24
2024-10-30,Product E,North,15500.00,31
2024-11-05,Product A,South,21000.75,42
2024-11-12,Product C,East,24000.00,48
2024-11-18,Product B,West,17200.25,34
2024-11-25,Product D,North,12800.50,25
2024-11-30,Product E,South,16200.00,32
2024-12-05,Product A,East,21800.75,43
2024-12-12,Product C,North,24800.00,49
2024-12-18,Product B,South,18000.25,36
2024-12-22,Product D,West,13500.50,27
2024-12-28,Product E,East,17000.00,34

